date,rating,review_text,helpful_count
2026-05-31 11:13:43,5,Experience was too good. 😊 Best app to invest in USA market and UPI payment,0
2026-05-31 10:39:00,1,Please Ind Money Request Sabhi platform Refrel ke acca reword dete hai aap please old vala program active kar dijiye,0
2026-05-31 06:30:03,4,easy steps for trading us stock. can i buy us stock ETF/ MUTUAL FUND,0
2026-05-30 16:33:51,5,"Stocks buy karna bahut easy hai-fast orders, live prices aur secure payments, sab ek app mein.,",0
2026-05-30 12:23:05,1,"why do you keep changing interfaces and each change is making it worse. 2 years ago the interface was clear and simple everything was just below the stock charts. Now bogus partitions are done to keep clicking and sliding to get any information. bogus updates are depth, my portfolio, overview. kindly merge these three things in one section.",0
2026-05-29 15:36:03,1,pathetic way of verification processes. verification agent not even allowing to think.,0
2026-05-29 09:45:52,5,"dear INDmoney app team technical&developer. good afternoon. am using this app from long time. but in this UPI option am using but not supported some technical error, after this 2-3 times complaint regarding this yesterday Saturday resolved but again today same when I update this app from Vivo playstore. thank you. my issue has been resolved. thanks & regards. Ajay Kamble",0
2026-05-28 16:19:03,5,Amazing Experience with the INDmoney app.. Good Trading Platform. Indian and US Stock market.,0
2026-05-28 10:01:22,1,It fails at support. Everything is fine until you encounter any issue. Then it'll take everything in your life to get fixed. Changing rating from 3 stars to 1 due to failed support.,1
2026-05-28 08:05:18,2,Support tickets are not being answered. No call backs or emails. No communication,0
2026-05-28 04:53:43,1,"US Stock investment Deposit conversion rate is locked instantly, but during withdrawal the USD to INR conversion happens later and the final exchange rate is informed afterwards. Withdrawal processing also takes a long time. Due to delayed conversion, forex spread and extra charges, even after earning profit in USD I received less INR than my original investment. The withdrawal and conversion process should be more transparent and rates should be locked at the time of withdrawal request.",0
2026-05-28 04:17:21,4,"Good platform, but concern about US Stock investment like open bank account with few banks only. Request to provide facility to open account online for that same.",0
2026-05-27 14:14:11,4,In MTF section please remove MTF summary and Manage button to view the maximum stock in less area....,0
2026-05-27 08:12:46,1,I had to open a federal bank account for US stocks and after depositing money into the accout the money is taking days to reflect in the Ind app. Wasted my time and money,0
2026-05-27 07:06:56,5,"The interface and performance of app seems to be very familiar and easily adaptable yet seamlessly aligning the latest norms and tools. Very easy to deal with and prompt in execution, Has helped to improve my efficiency in trading.",0
2026-05-27 02:30:02,1,unable to invest in our stock sip they directly call you and tell you you are not eligible.,0
2026-05-27 00:53:45,5,"When we click on any share and open the up/down chart screen, the previous black screen/theme looked much better and more appealing. Please add an option in Settings so users can choose between the old black theme and the new theme as per their preference.”",0
2026-05-26 15:23:47,1,"They mislead saying get 300 Rs worth free cash after adding 5000 in your US Wallet. Later after you add it, they say refer a friend to get the benefit of 300 and that too after your referred person adds 5000 Rs.",0
2026-05-26 14:16:06,1,"Third Class Customer Resolution Service . After Raising the ticket they didn't bother to solve the issue . Only They transfer the matter to another department. Suggestion - Don't go with this app , if there is any trouble they will not be able to solve anything.",0
2026-05-26 09:08:11,5,"""(INDmoney Private-Corporation)"", ...INDmoney is an Indian ""Super Finance App"" and wealth-tech platform that allows users to track their total net worth, manage family accounts, and invest across multiple asset classes like mutual funds, Indian stocks, US stocks, and fixed deposits. Headquartered in Gurugram, India, it was founded in 2019 by serial entrepreneur Ashish Kashyap🏆",0
2026-05-25 12:28:08,2,"very much delayed fund transfer/ Deposit precess, takes 7- 10 days",0
2026-05-25 10:25:14,1,price grafix ko kyu bigad diya... update karne wale baad m app chala k nahi dekhate ki grafix m point k upper hi price show ho raha h.....,0
2026-05-25 09:27:12,5,Block deal history of day will be cherry on top,0
2026-05-25 09:00:20,1,as per discussion with Indmoney customercare on 22nd may she assured my fund shall be credited in US Stock acount by 25th may. Today is 25th May I am awaiting your response even I mailed today morning but no positions reply till. Now.,1
2026-05-25 06:08:25,1,I have sold some shares for urgent money. I cannot see my wallet or cash available for withdrawel. Is this really a share trading app? Whoever created this app is an idiot. Learn from Zerodha,0
2026-05-24 23:15:08,1,"i have already installed without seeing the reviews, I'll rewrite my experience later.",0
2026-05-24 14:33:06,4,Poor application except for investment of mutual fund in SOA format it is not of much use. If you get trouble No customer care... Only template based AI answers. Investment in indmoney to be done cautiously other wise just asking for trouble.,0
2026-05-24 14:17:17,4,it's a good way to invest my money in US stocks.,0
2026-05-24 04:45:38,1,bunch of losers running the show. don't trust this app. I lost my 5200 usd for 4 months. they were unable to locate the funds. need to take legal help to get my money back. absolutely pathetic app. no customer support. noone you can talk to for ur issues. stay away.,1
2026-05-23 19:42:17,5,It is best that it summarizes the bank expenses. This app needs a little more update. It is not accessing the investments in Angel One properly and the fund name is also not updated correctly.,1
2026-05-22 16:17:48,1,unable to verify the accounts even after entering n number of otps,1
2026-05-22 14:28:27,4,"The newly introduced section in US equities - Tax Implication(What happens if you sell today), it's super useful 👌. I can see the STCG, LTGC and Gross Profit at one place, made life easier now without navigating too much.",1
2026-05-22 08:43:52,5,good app it has to improve in detailed anaylisis on stock market and give suggetion for investment to stockholders nation as well as International stock portfolio for better user experience,0
2026-05-22 08:17:51,1,if u want to loose ur money then invest with this app,0
2026-05-22 06:51:39,1,I have big trust issues as I observed couple of issues today and previously also but that time I ignored. orders are getting executed at higher prices and folio page showing less average prices. certainly we the customer is not at profit from this. IndMondey is making money 🤑,1
2026-05-22 01:35:26,5,nice app for Indian investment but inter face should more batter,0
2026-05-21 18:24:39,1,seems like they have moved from being a good company to an unethical one. Tricking investors into investing in regular growth funds instead of direct growth funds,1
2026-05-21 16:07:26,1,"pathetic app for US stock. as soon as I click on the US account tab, the US account is being created by default. we can't even watch the US stocks, as soon as I am going on the US tab, it is opening my account with broker. i don't want to open the account but only watch the stocks.",1
2026-05-21 15:32:51,5,Excellent app for stock investments in the USA and India. I like it very much.,0
2026-05-21 10:40:13,4,"I have a small feedback/request. If possible, could you please add a feature that allows users to create multiple portfolios for US stock investments? For example, users could maintain separate portfolios for: Swing Trading Long-Term Investments Dividend Investments High-Risk Trades This would help users organize their investments more efficiently without needing to open multiple accounts for different strategies or goals.",1
2026-05-21 06:40:52,5,Why do you guys keep changing the UI so frequently? It is very irritating to adjust to UI changes every week. but everything else is good,1
2026-05-21 02:45:21,5,love this app kya app Hain yaar i love you guys what a design what a user experience,0
2026-05-21 01:37:03,4,"I need ""index on top"" back on US market page.",3
2026-05-20 16:25:25,3,US stock investment process is bad. fails most of the time. also interface of portfolio and trading needs to improve a lot,0
2026-05-20 15:17:49,5,The app is very intuitive for the purpose it is built for.,0
2026-05-20 10:05:55,1,it is not as it described. it asks for a mobile number then tons of spam calls. so it should be logged via email.,1
2026-05-20 06:04:17,2,"Ui update is ugly and very user unfriendly You need to demote your product manager to, an Intern or something!! because he has no damn idea what good UI Ux means, and DONT FIX SOMETHING THAT IS NOT BROKEN!! is like the first rule of software or any development!!!",0
2026-05-19 15:47:49,5,This is the best app for investing in the US stock market compared to other apps.,0
2026-05-19 15:14:10,5,The customer care representative immediately resolved the issue thank you for the swift response,0
2026-05-19 14:12:26,3,"hallo ind money working team your apps good but theare is not sufficient data for us stock aanalysis please provide a sufficient data for stock research then buyer buy a stock confidently please provide some windows for stock analysis, research please work about my query for future if i am right so please necessary action about its very important for buy a stock,etf etc thanks",0
2026-05-19 03:52:30,4,"I cannot find ETF , NO OPTION FOR ETF PURCHASE. Even Mutual Funds are not purchased on same day. Please fix this issue.",1
2026-05-19 03:17:58,4,Very good App. will be better if while scrolling the price remains stationary. Also if the order book is also prominently visible.,0
2026-05-18 14:17:04,3,"It's saying that it allows to add money in us Accounts via partner banks like ICICI, but I AM not able to add money in us account via icici",0
2026-05-18 14:00:35,5,one of the better trading apps simple clean and easy to use highly recommend,0
